Date;Age;Gender;Position ;Experience;Seniority_level;Programming_language;Salary;Vacation_days;Employment_status;Contract_duration;Language;Company_size
24.11.2020 11:14;26;Male;Software Engineer;5;Senior;TypeScript;80000;30;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 11:14;26;Male;Backend Developer;7;Senior;Ruby;80000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 11:14;29;Male;Software Engineer;12;Lead;Javascript / Typescript;120000;30;Self-employed (freelancer);Temporary contract;English;large
24.11.2020 11:15;28;Male;Frontend Developer;4;Junior;Javascript;54000;24;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 11:15;37;Male;Backend Developer;17;Senior;C# .NET;62000;29;Full-time employee;Unlimited contract;English;large
24.11.2020 11:15;32;Male;DevOps;5;Senior;AWS, GCP, Python,K8s;76000;30;Full-time employee;Unlimited contract;English;small
24.11.2020 11:16;37;Male;Frontend Developer;6;Middle;Javascript;57000;24;Full-time employee;Unlimited contract;English;small
24.11.2020 11:16;24;Male;Frontend Developer;5;Senior;Typescript;65000;27;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:17;29;Male;Backend Developer;8;Senior;PHP;56000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 11:17;35;Male;Software Engineer;15;Lead;Java;95000;30;Full-time employee;Unlimited contract;English;large
24.11.2020 11:18;32;Female;Data Engineer;2;Junior;Aws Hadoop Postgre Typescript;52500;30;Full-time employee;Unlimited contract;German;large
24.11.2020 11:18;34;Male;Software Engineer;14;Senior;Typescript;70000;28;Full-time employee;Unlimited contract;English;small
24.11.2020 11:18;28;Male;Designer (UI/UX);11;Senior;;75000;30;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:18;31;Male;Backend Developer;5;Senior;Kotlin;75000;25;Full-time employee;Unlimited contract;English;large
24.11.2020 11:18;29;Male;Backend Developer;7;Middle;Ruby;60350;31;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:19;41;Male;Product Manager;18;Senior;;78000;28;Full-time employee;Unlimited contract;English;medium-size
24.11.2020 11:20;27;Male;Backend Developer;8;Senior;PHP;60000;25;Full-time employee;Unlimited contract;English;extra-large
24.11.2020 11:20;34;Male;Mobile Developer;11;Lead;kotlin;80000;28;Full-time employee;Unlimited contract;English;large
24.11.2020 11:21;34;Male;DevOps;13;Senior;;103000;30;Full-time employee;Unlimited contract;English;extra-large
